,,,,,,,
,,,,,,,
Date,Slice,Tiles X,Tiles Y,"ImPos x,y,z",Speed,Oscillations,
9/13/2024,136,10,8,,1,8,
9/17/2024,137,10,8,,1,8,
9/17/2024,138,10,9,,1,8,
9/17/2024,139,10,9,,1,8,(Blade change--> extra thin slice)
9/17/2024,140,10,9,,1,8,
9/18/2024,141,10,9,,1,8,
9/18/2024,142,10,9,,1,8,
9/18/2024,143,10,9,,1,8,
9/18/2024,144,10,9,,1,8,
9/18/2024,145,10,9,,1,8,
9/19/2024,146,10,9,"14,5.63227,298.644",1,8,
9/19/2024,147,10,9,,1,8,
9/19/2024,148,10,9,,1,8,
9/19/2024,149,10,9,,1,8,
9/19/2024,150,10,9,,1,8,
9/19/2024,151,10,9,,1,8,
9/19/2024,152,10,9,,1,9,
9/19/2024,153,10,9,,1,8,
9/19/2024,154,10,9,,1,9,
9/19/2024,155,10,9,,1,9,
9/19/2024,156,10,9,,1,9,
9/19/2024,157,10,9,,1,9,
9/19/2024,158,10,9,,1,9,
9/19/2024,159,10,9,,1,9,
9/19/2024,160,10,9,,1,9,
9/20/2024,161,10,9,"14,5.63227,298.702",1,9,
9/20/2024,162,10,9,,1,9,
9/20/2024,163,10,9,,1,8,
9/20/2024,164,11,9,,1,8,
9/20/2024,165,11,9,,1,8,
9/20/2024,166,11,9,,1,8,
9/20/2024,167,11,9,,1,9,
,168,,,,,,
,169,,,,,,
,170,,,,,,
,171,,,,,,
,172,,,,,,
,173,,,,,,
,174,,,,,,
,175,,,,,,
,176,,,,,,
,177,,,,,,
,178,,,,,,
,179,,,,,,
,180,,,,,,
,181,,,,,,
,182,,,,,,
,183,,,,,,
,184,,,,,,
,185,,,,,,
,186,,,,,,
,187,,,,,,
,188,,,,,,
,189,,,,,,
,190,,,,,,
,191,,,,,,
,192,,,,,,
,193,,,,,,
,194,,,,,,
,195,,,,,,
,196,,,,,,
,197,,,,,,
,198,,,,,,
,199,,,,,,
,200,,,,,,
